"Field","Subfield","Label","EditTypes","InputAid","Occurs","DBs"
"600","2","Обозначение и номер части (раздела)","1=menu(.mnu)","obn.mnu\\","2","2"
"600","3","Ввод через AUTHORITY-файл (N записи)","10=authority","ATHRA,A=,1=,@athraip","7","5"
"600","4","Функция","6=tree(.tre)","7024.tre\\ -","3","3"
"600","5","Название части (раздела)","0=text",,"2","2"
"600","6","Дата публикации","0=text",,"2","2"
"600","8","Тематический подзаголовок","2=dict(,pref=)",",PS=,@!pzmov","3","3"
"600","9","Роль (Инвертирование ФИО допустимо?)","1=menu(.mnu)","di.mnu","7","5"
"600","A","Фамилия, инициалы","2=dict(,pref=)",",A=,@!amovip","7","5"
"600","B","Текст","7=yes/no","pers.mnu","6","4"
"600","C","Дополнения к именам, кроме дат","0=text; 1=menu(.mnu)","Avt_Dop.mnu\\2","7","5"
"600","D","Римские цифры","1=menu(.mnu)","rc.mnu","7","5"
"600","F","Даты жизни","0=text",,"7","5"
"600","G","Расширение инициалов","0=text",,"7","5"
"600","J","Хронологический подзаголовок","2=dict(,pref=)",",HS=,@!pzmov","3","3"
"600","K","Тематический подзаголовок","2=dict(,pref=)",",PS=,@!pzmov","3","3"
"600","L","Индикатор формы записи имени","7=yes/no","df.mnu","7","5"
"600","M","Тематический подзаголовок","2=dict(,pref=)",",PS=,@!pzmov","3","3"
"600","O","Географический подзаголовок","2=dict(,pref=)",",GS=,@!pzmov","3","3"
"600","P","Работает в другой организации","0=text; 2=dict(,pref=)",",MR=,@!amovmr","7","5"
"600","Q","Географический подзаголовок","2=dict(,pref=)",",GS=,@!pzmov","3","3"
"600","R","Разночтение фамилии","2=dict(,pref=)",",A=,@!amovu","7","5"
"600","T","Географический подзаголовок","2=dict(,pref=)",",GS=,@!pzmov","3","3"
"600","U","Роль (доб.КК?)","7=yes/no","rola.mnu","7","5"
"600","W","Шифр (ссылка) на документ в БД","2=dict(,pref=)",",T=,v903","2","2"
"600","Y","Работает в данной организации","7=yes/no","dn.mnu","7","5"
"600","Z","Заглавие как предмет","2=dict(,pref=)",",TP=,@!tmov0","2","2"
"601","-","Ввод Рубрики через словарь Предметных рубрик","2=dict(,pref=)",",S=,(if '***'='601' then v*** else 'неправильно выбран термин' fi/)","2","2"
"601","!","Код системы предметизации","1=menu(.mnu)","kspr.mnu","3","3"
"601","#","Имя БД","0=text",,"2","2"
"601","(","Тип заглавия","1=menu(.mnu)","600tz.mnu","2","2"
"601",",","Музык. произведение - цифровое обозначение","1=menu(.mnu)","125_7.mnu\\","2","2"
"601",".","Ввод Рубрики через Authority-файл Предметных заголовков","10=authority","ATHRS,M=,3=,@athrsgrc","3","3"
"601",":","Общее обозначение материала","1=menu(.mnu)","200b.mnu\\","2","2"
"601",";","Музык. произведение - средства исполнения","1=menu(.mnu)","125_8.mnu\\","2","2"
"601","+","Подзаголовок формы (сведения к заглавию)","1=menu(.mnu)","pzf_600.mnu\\","2","2"
"601","<","Музык. произведение - ключ (тональность)","1=menu(.mnu); 6=tree(.tre)","125_6.mnu\\","2","2"
"601",">","Прочие сведения (текст)","0=text",,"2","2"
"601","0","Формальный подзаголовок (аспект)","1=menu(.mnu)","fpz.mnu\\2","3","3"
"601","2","Обозначение и номер части (раздела)","1=menu(.mnu)","obn.mnu\\","2","2"
"601","3","Ввод через Authority-файл Коллективов (N записи)","10=authority","ATHRC,Z=,0=,@athrcv_601","6","4"
"601","4","Функция","1=menu(.mnu)","7024_gua.mnu\\2","1","1"
"601","5","Название части (раздела)","0=text",,"2","2"
"601","6","Дата публикации","0=text",,"2","2"
"601","7","Сокращение по ГОСТ","0=text",,"6","4"
"601","8","Предметный подзаголовок","2=dict(,pref=)",",PS=,@!pzmov","3","3"
"601","A","Персоналия (о нем)","2=dict(,pref=)",",M=,@!mmovo","6","4"
"601","B","Текст","7=yes/no","pers.mnu","5","3"
"601","C","Город","1=menu(.mnu)","gor.mnu\\1","3","3"
"601","D","Номер мероприятия","0=text",,"3","3"
"601","E","Город 1","1=menu(.mnu)","gor.mnu","3","3"
"601","F","Дата проведения мероприятия","0=text",,"3","3"
"601","H","Город 2","1=menu(.mnu)","gor.mnu","3","3"
"601","I","Город 3","1=menu(.mnu)","gor.mnu","3","3"
"601","J","Хронологический подзаголовок","2=dict(,pref=)",",HS=,@!pzmov","3","3"
"601","K","Предметный подзаголовок","2=dict(,pref=)",",PS=,@!pzmov","3","3"
"601","L","Подразделение","0=text",,"3","3"
"601","M","Предметный подзаголовок","2=dict(,pref=)",",PS=,@!pzmov","3","3"
"601","N","Номер","0=text",,"3","3"
"601","O","Географический подзаголовок","2=dict(,pref=)",",GS=,@!pzmov","3","3"
"601","P","Наименование","2=dict(,pref=)",",M=,@!mmovs_601","3","3"
"601","Q","Географический подзаголовок","2=dict(,pref=)",",GS=,@!pzmov","3","3"
"601","R","Аббревиатура","0=text",,"3","3"
"601","S","Страна","1=menu(.mnu)","str.mnu\\2","3","3"
"601","T","Географический подзаголовок","2=dict(,pref=)",",GS=,@!pzmov","3","3"
"601","U","Роль (Нужна добавочная карточка,форм. сведения об отв. ?)","1=menu(.mnu)","rolc.mnu","2","2"
"601","V","Аббревиатура","0=text",,"3","3"
"601","W","Шифр (ссылка) на документ в БД","2=dict(,pref=)",",T=,v903","2","2"
"601","X","Роль (Заглавие подразделения Характерное ?)","7=yes/no","danet.mnu","3","3"
"601","Z","Заглавие как предмет","2=dict(,pref=)",",TP=,@!tmov0","2","2"
"602","!","Код системы предметизации","1=menu(.mnu)","ind.mnu","4","3"
"602","[","Признак  формирования записи в БД ATHRA","7=yes/no","df.mnu","1","1"
