"Field","Subfield","Label","EditTypes","InputAid","Occurs","DBs"
"0","A","Дата (в виде ГГГГММДД)","0=text",,"2","2"
"0","B","Логин клиента","0=text",,"2","2"
"0","C","IP-клиента","0=text",,"2","2"
"0","D","БД","0=text",,"1","1"
"1","-","Аналоги выводить","7=yes/no","yesno.mnu","3","3"
"1","*","Тестовое подполе *","0=text",,"1","1"
"1",":","В отладочном варианте?","7=yes/no","noyes.mnu","2","2"
"1","?","Формировать ККО?","7=yes/no","yesno.mnu","3","3"
"1",">","По рабочей программе?","7=yes/no","DANET.mnu","1","1"
"1","0","УНД","0=text",,"1","1"
"1","1","Дисциплина","0=text",,"1","1"
"1","5","Характер документа","1=menu(.mnu); 2=dict(,pref=)",",HD=","3","3"
"1","8","Учебная?","7=yes/no","UchMet.mnu","1","1"
"1","9","Только электронные учебники","7=yes/no","noyes.mnu","2","2"
"1","A","Только учебники (есть поле 691)?","0=text; 1=menu(.mnu); 2=dict(,pref=); 7=yes/no",",NKSU=","16","8"
"1","B","Номер акта","0=text; 2=dict(,pref=)",",NAS=","11","6"
"1","C","Специальность","0=text; 2=dict(,pref=)",",Spec=,","8","5"
"1","D","Дата поступления c...(ГГГГММДД)","0=text",,"7","5"
"1","F","Семестр","0=text",,"4","4"
"1","G","Тип дисциплин","7=yes/no","691g.mnu","6","3"
"1","I","Дисциплина","2=dict(,pref=)","@PRIVATE/DBN/IBIS,DISC=","3","3"
"1","N","Направление","1=menu(.mnu); 2=dict(,pref=)",",Napr=,","4","4"
"1","O","Форма обучения","1=menu(.mnu); 2=dict(,pref=)",",FO=,","4","4"
"1","Q","Нормативный ККО","0=text",,"3","3"
"1","S","Цикл дисциплин","2=dict(,pref=)",",cikld=","3","3"
"1","T","Выделенный фонд","1=menu(.mnu)","Naznac.mnu","3","3"
"1","V","Вид обучения","1=menu(.mnu); 2=dict(,pref=)",",VO=,","4","4"
"1","Z","Год издания с","2=dict(,pref=)","IBIS,G=","3","3"
"2","-","Аналоги выводить?","0=text; 7=yes/no","Yesno.mnu","2","2"
"2","#","Для факультета экземпляры пропорционально студдентаи?","7=yes/no","Yesno.mnu","6","3"
"2",".","Направление вместо специальности?","7=yes/no","Yesno.mnu","6","3"
"2","/","Параметр для ключа сортировки?","1=menu(.mnu)","SortPart2.mnu","1","1"
"2",":","ККО в отладочном варианте?","7=yes/no","Yesno.mnu","12","3"
"2","?","Только электронные учебники?","7=yes/no","noyes.mnu","1","1"
"2","@","Имя справочника для включения","0=text",,"7","3"
"2","=","Для текущего семестра?","7=yes/no","Yesno.mnu","10","3"
"2",">","По рабочей программе?","17","if val(&uf('IMAIN,IdentWPD,1'))=1 then '2,,WP=' else '1,noyes.mnu' fi","3","1"
"2","1","Кол-во ЭУ меньше ...?","0=text; 7=yes/no","Yesno.mnu","4","4"
"2","2","Конечная дата ГГГГММДД","0=text",,"1","1"
"2","3","Кол-во ЭУ для сравнения","0=text",,"3","3"
"2","7","Включить БД из справочника?","7=yes/no","YesnoDB.mnu","7","3"
"2","A","Факультет","0=text; 2=dict(,pref=)",",FAK=","14","5"
"2","B","Кафедра","0=text; 2=dict(,pref=)",",KAFCH=","7","4"
"2","C","Специальность/Профиль","0=text; 2=dict(,pref=)",",Spec=","10","4"
"2","D","Начальная дата (в виде ГГГГММДД)","0=text",,"2","2"
"2","E","Конечная дата (в виде ГГГГММДД)","0=text",,"2","2"
"2","F","Семестр","0=text",,"13","4"
"2","G","Тип - Осн/Доп","7=yes/no","691g.mnu","7","3"
"2","N","Направление","2=dict(,pref=)",",Napr=","9","3"
"2","O","Форма обучения","2=dict(,pref=)",",FO=","12","3"
"2","S","Цикл дисциплин","2=dict(,pref=)",",cikld=","3","3"
"2","V","Вид обучения","2=dict(,pref=)",",VO=","9","3"
"3","1","Полугодие","0=text",,"5","3"
"3","5","5: Гриф считать по наименованиям?","7=yes/no","dg.mnu","2","2"
"3","6","6: Гриф","1=menu(.mnu)","kitgrif.mnu","2","2"
"3","A","N записи КСУ","!1; 2=dict(,pref=)",",NKSU=,","15","7"
"3","B","N КСУ","1=menu(.mnu); 17; 2=dict(,pref=)","CMPL,KSU=,""^B""v88^a,""^C""v88^b*6,"".""v88^b*4.2,"".""v88^b.4,'^D'ref(l(""KOR=""v88^d),v81^a""."",v81^b,if a(v81)then v89^a""."",v89^b fi),""^E""v88^e,""^F""v88^f,""^G""v88^g,""^X""v88^a,if &unifor('Av88^y#1')<>''then'^Y'&unifor('Av88^y#1')fi","15","7"
"3","C","Специальность","2=dict(,pref=); 7=yes/no",",Spec=","4","4"
"3","D","Начальная дата периода доступа (в виде ГГГГММДД)","0=text",,"1","1"
"3","E","Конечная дата периода доступа (в виде ГГГГММДД)","0=text",,"1","1"
"3","F","Количественное ограничение","0=text",,"1","1"
"3","G","Тип - Осн/Доп","7=yes/no","691g.mnu","4","4"
"3","O","Форма обучения","2=dict(,pref=)",",FO=","3","3"
"3","S","S: Цикл","1=menu(.mnu)","cikld.mnu","2","2"
"3","Z","Год","0=text",,"3","3"
"4","@","Имя файла со списком БД","0=text",,"1","1"
"4","5","Проверять признак ""По рабочей программе?""","7=yes/no","NoYes.mnu","2","1"
"4","A","Номер записи КСУ","0=text; 2=dict(,pref=)",",NKSU=,","13","6"
"4","B","Подразделение","0=text; 2=dict(,pref=)",",MHR=,","11","5"
"4","C","Начальный штрих-код","2=dict(,pref=)",",IN=,","5","4"
"4","D","Конечный штрих-код","2=dict(,pref=)",",IN=,","3","3"
"4","K","Код укрупненной специальности","0=text",,"2","1"
"4","N","Направление","2=dict(,pref=)",",NAPR=","2","1"
"4","O","Форма обучения","2=dict(,pref=)",",FO=","2","1"
"7","a","Условие отсылки","0=text",,"1","1"
"7","b","Отсылочный код","3=mask-dict",,"1","1"
"9","1","Должность принимающего объекты основных средств(должность)","0=text",,"1","1"
"9","2","ФИО принимающего объекты основных средств","0=text",,"1","1"
"9","3","Должность принимающего на ответственное хранение(Объекты основных средств)","0=text",,"1","1"
"9","4","Должность принимающего на ответственное хранение(Объекты основных средств)","0=text",,"1","1"
"9","5","ФИО принимающего объекты основных средств на отв. хранение(должность)","0=text",,"1","1"
"9","A","Должность руководителя организации-получателя(1-я строка)","0=text",,"1","1"
"9","B","Должность руководителя организации-получателя(2-я строка)","0=text",,"1","1"
"9","C","Должность руководителя организации-получателя(3-я строка)","0=text",,"1","1"
"9","D","Должность руководителя организации-получателя(4-я строка)","0=text",,"1","1"
"9","E","ФИО руководителя организации-получателя","0=text",,"1","1"
"9","F","Наименование организации-получателя","0=text",,"1","1"
"9","G","Наименование структурного подразделения организации-получателя(1 строка)","0=text",,"1","1"
"9","J","Должность 1-го члена комиссии(1 строка)","0=text",,"1","1"
"9","K","Наименование структурного подразделения организации-получателя(2 строка)","0=text",,"1","1"
"9","L","Должность председателя комиссии(1-я строка)","0=text",,"1","1"
"9","M","Должность председателя комиссии(2-я строка)","0=text",,"1","1"
"9","N","ФИО председателя комиссии","0=text",,"1","1"
"9","O","Должность 1-го члена комиссии(2 строка)","0=text",,"1","1"
"9","P","Должность 1-го члена комиссии(3 строка)","0=text",,"1","1"
"9","R","ФИО 1-го члена комиссии","0=text",,"1","1"
"9","S","Должность 2-го члена комиссии(1 строка)","0=text",,"1","1"
"9","T","Должность 2-го члена комиссии(2 строка)","0=text",,"1","1"
"9","U","ФИО 2-го члена комиссии","0=text",,"1","1"
"9","W","ФИО секретаря комиссии","0=text",,"1","1"
"9","X","Должность принимающего объекты основных средств(должность)","0=text",,"1","1"
"9","Y","Должность секретаря комиссии(1 строка)","0=text",,"1","1"
"9","Z","Должность секретаря комиссии(2 строка)","0=text",,"1","1"
"10","1","Страховая стоимость","0=text",,"2","2"
"10","A","ISBN","0=text",,"4","4"
"10","B","Уточнения","0=text; 1=menu(.mnu)","10.mnu","2","2"
"10","C","Обозначение валюты","1=menu(.mnu)","val.mnu\\2","5","3"
"10","D","Закупочная стоимость","0=text",,"6","4"
"10","G","Период подписки","0=text",,"1","1"
"10","Y","Y: Отмененный ORCID","0=text",,"1","1"
"10","Z","Ошибочный ISBN","0=text",,"3","3"
"11","A","ISSN","0=text",,"6","6"
"12","!","Индикатор 2","1=menu(.mnu)","ind.mnu","2","2"
"12","0","Индикатор 1","1=menu(.mnu)","ind.mnu","2","2"
"12","2","Код системы","0=text",,"2","2"
"12","5","Организация-держатель экземпляра","0=text",,"2","2"
"12","9","Инвентарный номер экземпляра","0=text",,"2","2"
"12","a","Фингерпринт","0=text",,"2","2"
"13","A","Почтовый индекс","0=text",,"3","3"
"13","B","Республика","0=text",,"3","3"
"13","C","Город","1=menu(.mnu)","gor.mnu","2","2"
"13","D","Улица","0=text",,"2","2"
"13","E","Номер дома","0=text",,"2","2"
"13","F","Дополнительные данные","0=text",,"2","2"
"13","G","Номер подъезда","0=text",,"2","2"
"13","H","Номер квартиры","0=text",,"2","2"
"14","A","Директор библиотеки (текст - полное название)","0=text",,"1","1"
"14","B","ФИО директора","0=text",,"1","1"
"14","C","ФИО гл.бухгалтера","0=text",,"1","1"
"14","D","Директор библиотеки (текст - аббревиатура)","0=text",,"1","1"
"14","E","Контактное лицо - телефон","0=text",,"1","1"
"14","F","Контактное лицо - ФИО","0=text",,"1","1"
"14","G","Руководитель структурного подразделения","0=text",,"1","1"
"14","H","текст для Реестра (1-ая строка)","0=text",,"1","1"
"14","I","текст для Реестра (2-я строка)","0=text",,"1","1"
"14","J","текст для Реестра (3-я строка)","0=text",,"1","1"
"15","A","Индекс","0=text",,"1","1"
"15","B","Страна","0=text",,"1","1"
"15","C","Город","0=text",,"1","1"
"15","D","Улица","0=text",,"1","1"
"15","E","Номер дома","0=text",,"1","1"
"15","F","Отправитель (1-я строка на конверте)","0=text",,"1","1"
"15","G","Отправитель (2-я строка на конверте)","0=text",,"1","1"
"15","K","Телефон","0=text",,"1","1"
"17","1","1: Поступило впервые на баланс (без периодики)","0=text",,"3","1"
"17","2","2: Не на баланс (с периодикой)","0=text",,"3","1"
"17","3","3: Учебных изданий","0=text",,"3","1"
"17","A","A: Всего (без периодики)","0=text",,"3","1"
"17","B","B: Исключено не на баланс","0=text",,"3","1"
"17","D","D: Требуют докомплектования","0=text",,"1","1"
"17","F","F: Передано в другое подразделение","0=text",,"1","1"
"18","1","1: Исключено из фонда","0=text",,"3","1"
"18","2","2: Книги","0=text",,"3","1"
"18","3","3: Моноиздания","0=text",,"3","1"
"18","4","4: Брошюры","0=text",,"3","1"
"18","5","5: Число томов","0=text",,"3","1"
"18","6","6: Отечественные книги","0=text",,"3","1"
"18","7","7: Иностранные книги","0=text",,"3","1"
"19","A","Тип номера","0=text; 1=menu(.mnu)","19a.mnu","9","5"
"19","B","Номер","0=text; 1=menu(.mnu)","19b.mnu","9","5"
"19","C","Факультет","1=menu(.mnu)","fak.mnu","4","2"
"19","D","Кафедра","0=text; 1=menu(.mnu)","kafv.mnu","4","2"
"19","E","Номер группы","0=text",,"4","2"
"19","F","Индивидуальный шифр заочника","0=text",,"4","2"
"19","G","В каких группах учился ранее","4=multiline",,"2","2"
"19","H","Контрактник","7=yes/no","danet.mnu","2","2"
"19","U","Роль","7=yes/no","df.mnu","1","1"
"19","X","Основной документ / Приложение","7=yes/no","op.mnu","5","3"
"20","!","Индикатор 2","1=menu(.mnu)","ind.mnu","2","2"
"20","0","Индикатор 1","1=menu(.mnu)","ind.mnu","2","2"
"20","9","Основное заглавие издания","0=text",,"2","2"
"20","A","Место учебы","0=text; 1=menu(.mnu)","str.mnu\\2","5","5"
"20","B","Номер","0=text",,"3","3"
"20","C","Для систематических каталогов","0=text",,"1","1"
"20","D","Добавочные","0=text",,"1","1"
"20","E","Для топографического каталога","0=text",,"1","1"
"20","F","Формуляры","0=text",,"1","1"
"20","G","Для Генерального каталога","0=text",,"1","1"
"20","z","Ошибочный номер","0=text",,"2","2"
"21","!","Индикатор 2","1=menu(.mnu)","ind.mnu","2","2"
"21","0","Индикатор 1","1=menu(.mnu)","ind.mnu","2","2"
"21","9","Номер Листа регистрации","0=text",,"2","2"
"21","a","Код страны","1=menu(.mnu)","str.mnu\\2","2","2"
"21","b","Номер","0=text",,"2","2"
"21","z","Ошибочный номер регистрации","0=text",,"2","2"
"22","!","Индикатор 2","0=text; 1=menu(.mnu)","ind.mnu","3","2"
"22","0","Индикатор 1","1=menu(.mnu); 7=yes/no","ind.mnu","3","2"
"22","5","Начальная дата ГГГГММДД","0=text",,"1","1"
"22","6","Конечная дата ГГГГММДД","0=text",,"1","1"
"22","a","Номер записи КСУ выбытия","1=menu(.mnu); 2=dict(,pref=)","str.mnu\\2","4","2"
"22","b","Номер","0=text; 2=dict(,pref=)",",NAP=","3","2"
"22","z","Ошибочный номер","0=text",,"2","2"
"28","A","Ученая степень","1=menu(.mnu)","ste.mnu","2","2"
"28","B","Ученое звание","1=menu(.mnu)","zvan.mnu","2","2"
"29","A","Право обслуживания","1=menu(.mnu)","29.mnu","2","2"
"29","B","Разрешенные места обслуживания","!1","kv.mnu","2","2"
"29","C","Неразрешенные места обслуживания","!1","kv.mnu","2","2"
"30","A","Организация","0=text; 2=dict(,pref=)","CMPL,OR=,v***^a,"". ""v***^b,""^K""v***^e","2","2"
"30","B","Конечная дата (ГГГГММДД)","0=text",,"1","1"
"30","C","Исключения дат","0=text",,"1","1"
"30","K","Код","2=dict(,pref=)","CMPL,OR=,v***^e","1","1"
"30","X","Ввод дат из записи Плана","15","(if p(v488) then if v488^1:'2' then &uf('D,?I='v488^W'?,(if p(v330) then |^A|v330^a,|^B|v330^b,| |n330^a/v330^c fi/)') fi fi)","1","1"
"31","(","УДК5 из AUTHORITY-файла","0=text",,"3","2"
"31","/","Географический подзаголовок (для 3 тематич.подз.)","0=text",,"2","2"
"31",":","УДК1 из AUTHORITY-файла","0=text",,"3","2"
"31",";","УДК2 из AUTHORITY-файла","0=text",,"3","2"
"31","[","Хронологический подзаголовок (для 1 темат.подз.)","0=text",,"2","2"
"31","\","Географический подзаголовок (для 2 тематич. подз.)","0=text",,"2","2"
"31","]","Хронологический подзаголовок (для 2 темат.подз.)","0=text",,"2","2"
"31","<","Хронологический подзаголовок (для 3 темат.подз.)","0=text",,"2","2"
"31",">","Географический  подзаголовок (для 1-го темат.подз.)","0=text",,"2","2"
"31","0","Код системы предметизации","1=menu(.mnu)","kspr.mnu","7","4"
"31","1","ББК1 из AUTHORITY-файла","0=text",,"5","3"
"31","2","ББК2 из AUTHORITY-файла","0=text",,"5","3"
"31","3","Ввод через AUTHORITY-файл (N записи)","10=authority","ATHRS,S=,3=,@athrsgr","7","4"
"31","4","ББК3 из AUTHORITY-файла","0=text",,"5","3"
"31","5","ББК4 из AUTHORITY-файла","0=text",,"5","3"
"31","6","ББК5 из AUTHORITY-файла","0=text",,"5","3"
"31","7","УДК3 из AUTHORITY-файла","0=text",,"3","2"
"31","8","УДК4 из AUTHORITY-файла","0=text",,"3","2"
"31","9","Формальный подзаголовок (аспект)","1=menu(.mnu)","fpz.mnu","7","4"
"31","A","Дата в формате ГГГГММДД","0=text; 13; 2=dict(,pref=)",",S=,@!smov","11","8"
"31","B","ФИО","0=text; 1=menu(.mnu); 2=dict(,pref=)",",PS=,@!pzmov","11","8"
"31","C","Тематический подзаголовок","2=dict(,pref=)",",PS=,@!pzmov","7","4"
"31","D","3-й подзаголовок","2=dict(,pref=)",",PS=,@!pzmov","7","4"
"31","E","Географический подзаголовок","2=dict(,pref=)",",GS=,@!pzmov","7","4"
"31","G","Географический подзаголовок","2=dict(,pref=)",",GS=,@!pzmov","7","4"
"31","H","Хронологический подзаголовок","2=dict(,pref=)",",HS=,@!pzmov","7","4"
"31","O","Географический подзаголовок","2=dict(,pref=)",",GS=,@!pzmov","7","4"
"31","U","Роль (ДК?)","1=menu(.mnu); 7=yes/no","rols3.mnu","7","4"
"32","A","A: Номер заказа","0=text; 2=dict(,pref=)",",OR=,v***^a,"". ""v***^b,""^K""v***^e","3","3"
"32","B","Конечная дата (ГГММДД)","0=text; 2=dict(,pref=)",",MNZ=","2","2"
"32","C","Исключения дат (ГГММДД)","0=text",,"3","3"
"32","D","Начальная дата (день недели)","0=text; 1=menu(.mnu)","dnn.mnu\\2","2","2"
"32","E","Конечная дата (день недели)","0=text; 1=menu(.mnu)","dnn.mnu\\2","2","2"
"32","F","Исключение (день недели)","1=menu(.mnu)","etr.mnu","2","2"
"32","G","ПОЛУЧЕНО(экз.)","0=text",,"1","1"
"32","H","Дополнительные сведения","0=text",,"1","1"
"32","K","Код","2=dict(,pref=)",",OR=,v***^e","1","1"
"32","U","Номер КСУ","2=dict(,pref=)",",KSU=","1","1"
"33","0","Название цикла/комплекса","0=text",,"1","1"
"33","A","Начальная дата (ГГММДД)","0=text",,"1","1"
"33","B","Конечная дата (ГГММДД)","0=text",,"1","1"
"33","C","Иключение дат (текст)","0=text",,"1","1"
"34","A","Цена комплекта","0=text",,"1","1"
"34","B","Число заказываемых комплектов","0=text",,"1","1"
"34","C","Цена доставки","0=text",,"1","1"
"34","D","Период подписки","1=menu(.mnu)","33.mnu","1","1"
"34","I","Индекс подписки","0=text",,"1","1"
"36","1","1:Средства исполнения - Количество","0=text",,"4","4"
"36","2","2:Код системы музыкальной нотации","1=menu(.mnu)","36_2.mnu\\2","4","4"
"36","A","A:Номер произведения","15; 2=dict(,pref=)","if p(v330) then &uf('S0'),(if p(v330) then &uf('S1A')/v330^c| |n330^c fi/) else ' '/' поле 330 пусто' fi","5","5"
"36","B","B:Номер части","0=text; 1=menu(.mnu)","adr.mnu","5","5"
"36","C","C:Номер инципита","0=text",,"5","5"
"36","D","D:Средства исполнения - Голос / инструмент","6=tree(.tre)","36_d.tre\\ -","4","4"
"36","E","E:Роль","0=text",,"4","4"
"36","F","F:Название части","0=text",,"4","4"
"36","G","G:Тональность или лад части произведения","6=tree(.tre)","125_6.tre\\ -","4","4"
"36","I","I:Нотный инципит - нотная строка (цифровое изображение выбранного фрагмента)","15","if p(v953) then &uf('S0'),(if p(v953) then &uf('S1A')/v953^t,| |n953^t fi/) else ' '/' поле 953 пусто' fi","4","4"
"36","M","M:Ключ (разновидность муз.ключа в приведенном инципите)","1=menu(.mnu)","36_m.mnu\\2","4","4"
"36","N","N:Ключевой знак альтерации (ключевые знаки в инципите)","1=menu(.mnu)","36_n.mnu\\2","4","4"
"36","O","O:Тактовый размер или мензура, указанные на нотном стане","0=text",,"4","4"
"36","P","P:Нотный инципит - нотная запись","0=text",,"4","4"
"36","Q","Q:Комментарии (произвольный текст)","0=text",,"4","4"
"36","R","R:Примечание в кодированной форме","1=menu(.mnu)","36_r.mnu","4","4"
"36","T","T:Литературный инципит","0=text",,"4","4"
"36","Z","Z:Язык текста","1=menu(.mnu)","Jzk.mnu","4","4"
"37","A","Период","0=text",,"1","1"
"37","B","Индекс","0=text",,"1","1"
"37","C","NN/год","1=menu(.mnu)","110d.mnu","1","1"
"37","D","Цена","0=text",,"1","1"
"37","E","Валюта","0=text",,"1","1"
"37","F","Поставщик","0=text",,"1","1"
"37","G","Код каталога","0=text",,"1","1"
"37","H","Цена номера","0=text",,"1","1"
"37","J","Цена доставки","0=text",,"1","1"
"37","N","Число NN","0=text",,"1","1"
"37","X","NN/год","0=text",,"1","1"
"38","1","Цена доставки","0=text",,"1","1"
"38","A","Период подписки","0=text",,"1","1"
"38","B","Код подразделения","1=menu(.mnu)","mhr.mnu","1","1"
"38","C","Число комплектов","0=text",,"1","1"
"38","D","Статус ЦБС/ВУЗ","0=text",,"1","1"
"38","E","Цена","0=text",,"1","1"
"38","Y","Число комплектов в адрес","0=text",,"1","1"
"38","Z","Код адресата","2=dict(,pref=)",",Z=,v***^a","1","1"
"39","A","Для кого (отдел)","1=menu(.mnu)","mhr.mnu","1","1"
"39","B","B: Заказ","0=text; 2=dict(,pref=)",",Z=,V***^A","2","2"
"39","C","Комплектов - всего","0=text",,"2","2"
"39","D","Число комплектов в отдел","0=text",,"2","2"
"39","E","Цена доставки","0=text",,"1","1"
"39","F","Канал поступления (источник заказа)","1=menu(.mnu)","kp.mnu\\2","1","1"
"39","N",,"0=text",,"1","1"
"39","Q","Период подписки,  если отличается от общего","0=text",,"1","1"
"39","S","Цена комплекта по каталогу, если отличается от общей","0=text",,"1","1"
"39","U","Статус","1=menu(.mnu)","stk.mnu","1","1"
"40","1","Время (ЧЧММСС)","0=text",,"1","1"
"40","A","Шифр документа","0=text","Вводится автоматически при сохранении","8","7"
"40","B","Инвентарный номер экземпляра","0=text; 1=menu(.mnu)","ChGr.mnu\\2","6","5"
"40","C","Краткое описание","0=text",,"7","7"
"40","D","Дата выдачи","0=text",,"8","7"
"40","E","Дата предполагаемого возврата","0=text",,"7","6"
"40","F","Дата фактического возврата","0=text",,"5","4"
"40","G","Имя БД каталога","0=text",,"6","6"
"40","H","Штрих-код","0=text",,"4","4"
"40","I","Ответственное лицо","0=text; 1=menu(.mnu)","val.mnu","5","5"
"40","K","Место хранения экземпляра","0=text",,"4","4"
"40","L","Дата продления","0=text",,"5","4"
"40","T","Заглавие","2=dict(,pref=)",",IST=,V***^T","2","2"
"40","U","Признак утерянной книги","0=text",,"3","3"
"40","V","Место выдачи","0=text",,"4","4"
"41","A","Дата (ГГММДД)","0=text","Вводится автоматически при регистрации","1","1"
"41","C","C: Дата","0=text",,"2","2"
"41","D","Всего за данную дату","0=text","Вводится автоматически при регистрации ОР","2","2"
"42","A","A: Номер поручения","0=text",,"1","1"
"42","B","B: Дата перевода","0=text",,"1","1"
"42","C","C: Дата","0=text",,"1","1"
"42","D","D: Сумма","0=text",,"1","1"
"42","E","E: Счет","0=text",,"1","1"
"42","F","F: Количество заказов","0=text",,"1","1"
"44","'","ООН","0=text",,"1","1"
"44","-","Госты (стандарты)","0=text",,"2","1"
"44","!","Обменный фонд","0=text",,"2","1"
"44","""","Депозитарий","0=text",,"1","1"
"44","#","Иностранная лит-ра - книги","0=text",,"1","1"
"44","$","Художественная (экз)","0=text",,"1","1"
"44","&","Общественно-политическая лит-ра (экз)","0=text",,"1","1"
"44","(","Учебные изд.(наименований)","0=text",,"1","1"
"44",")","Учебные изд. (экз)","0=text",,"1","1"
"44",",","Число экз., на баланс","0=text",,"1","1"
"44",".","Число наимен., на баланс","0=text",,"1","1"
"44","/","Диссертации","0=text",,"1","1"
"44",":","Число наимен.,не на баланс","0=text",,"1","1"
"44",";","Число экз.,не на баланс","0=text",,"1","1"
"44","?","Газеты","0=text",,"1","1"
"44","@","Иностранная лит-ра - журналы","0=text",,"1","1"
"44","\","Другое","0=text",,"1","1"
"44","`","Научная лит-ра","0=text",,"1","1"
"44","|","Резервный фонд","0=text",,"1","1"
"44","~","Фонд редкой книги","0=text",,"1","1"
"44","+","+: На сумму","0=text",,"2","1"
"44","<","Микрофиши","0=text",,"1","1"
"44","=","На сумму - не на баланс","0=text",,"1","1"
"44",">","Микрофильмы","0=text",,"1","1"
"44","0","0: Другое","0=text",,"1","1"
"44","1","1: Раздел знаний (экз)","0=text",,"1","1"
"44","2","2","0=text",,"1","1"
"44","3","3","0=text",,"1","1"
"44","4","4","0=text",,"1","1"
"44","5","5","0=text",,"1","1"
"44","6","6","0=text",,"1","1"
"44","7","7","0=text",,"1","1"
"44","8","8","0=text",,"1","1"
"44","9","9","0=text",,"1","1"
"44","A","Книги","0=text",,"3","2"
"44","B","B: Брошюры (экз)","0=text",,"3","2"
"44","C","Журналы","0=text",,"2","1"
"44","D","Ауди-визуальные","0=text",,"2","1"
"44","E","E: Карты (экз)","0=text",,"2","1"
"44","F","Ноты","0=text",,"2","1"
"44","G","G: Экземпляров электронных изданий - всего","0=text",,"2","1"
"44","H","H: Вид","1=menu(.mnu)","vdu.mnu","1","1"
"44","I","I: Место хранения","1=menu(.mnu)","mhr.mnu","1","1"
"44","J","J: Число наименований","0=text",,"2","1"
"44","K","K: Число экземпляров","0=text",,"2","1"
"44","L","На сумму, - на баланс","0=text",,"1","1"
"44","M","Отечественная лит-ра (наименований)","0=text",,"2","1"
"44","N","N: Отечественная лит-ра (экз)","0=text",,"2","1"
"44","O","O: Иностранная лит-ра (наименований)","0=text",,"2","1"
"44","P","P: Иностранная лит-ра - всего (экз)","0=text",,"2","1"
"44","Q","Русский язык","0=text",,"2","1"
"44","R","Национальный язык","0=text",,"2","1"
"44","S","Другой язык","0=text",,"2","1"
"44","T","T: 10","0=text",,"1","1"
"44","U","U: 11","0=text",,"1","1"
"44","V","V: 12","0=text",,"1","1"
"44","W","W: 13","0=text",,"1","1"
"44","X","Прочие","0=text",,"2","1"
"44","Y","Y: 14","0=text",,"1","1"
"44","Z","Z: 15","0=text",,"1","1"
"44","Б","Дискеты","0=text",,"1","1"
"44","Ж","Другие языки - всего","0=text",,"1","1"
"44","И","Оптический диск","0=text",,"1","1"
"44","Л","Мультимедиа","0=text",,"1","1"
"44","Ч","НТД - всего","0=text",,"1","1"
"44","ь","Учебные пособия","0=text",,"1","1"
"44","Э","Труды","0=text",,"1","1"
"44","Ю","Методические пособия","0=text",,"1","1"
"44","Я","Отчеты о НИР","0=text",,"1","1"
"45","(","(: НАИМЕНОВАНИЙ учебных","0=text",,"2","1"
"45",".",".: НАИМЕНОВАНИЙ на баланс без периодики","0=text",,"1","1"
"45",":",":: Кол-во НАИМЕНОВАНИЙ, НЕ принятых на баланс","0=text",,"2","1"
"45","1","1: русский язык (экз)","0=text",,"2","1"
"45","2","2: национальный язык (экз)","0=text",,"2","1"
"45","3","3: другой язык (экз)","0=text",,"2","1"
"45","4","4: Всего НАИМЕНОВАНИЙ без периодики (выбыло)","0=text",,"2","1"
"45","5","5: Всего экземпляров (исключено)","0=text",,"2","1"
"45","6","6: Всего на сумму (выбыло)","0=text",,"2","1"
"45","A","A: Книги на баланс (экз)","0=text",,"3","1"
"45","B","B: Брошюры (экз)","0=text",,"3","1"
"45","C","C: Периодика (экз)","0=text",,"2","1"
"45","D","D: Аудио/Видео (экз)","0=text",,"2","1"
"45","E","E: Карты (экз)","0=text",,"2","1"
"45","F","F: Ноты (экз)","0=text",,"2","1"
"45","G","G: Электронные ресурсы - экземпляры","0=text",,"2","1"
"45","L","L:  НАИМЕНОВАНИЙ электронных изданий","0=text",,"2","1"
"45","X","X: Прочие (экз)","0=text",,"2","1"
"46","2","Общее обозначение материала","1=menu(.mnu)","200bm.mnu","6","5"
"46","A","Заглавие серии","2=dict(,pref=)",",TS=,@!tmov46a","8","6"
"46","C","ПРЕДЫДУЩЕЕ ЗАГЛАВИЕ ИЗДАНИЯ","2=dict(,pref=)",",T=,@!tmov46c","8","6"
"46","D","Коллективный автор","2=dict(,pref=)",",M=,@!mmovf","8","6"
"46","E","Сведения, относящиеся к названию серии","0=text",,"7","6"
"46","F","Сведения об ответственности серии","2=dict(,pref=)",",M=,@!mmovf","7","6"
"46","G","Год или № выпуска изменения заглавия","0=text",,"8","6"
"46","H","Обозначение и № 2-й единицы деления","1=menu(.mnu)","obn.mnu\\1","7","6"
"46","I","Название 2-й единицы деления","0=text",,"7","6"
"46","J","ISSN серии","0=text",,"7","6"
"46","K","Обозначение и № 3-й единицы деления","1=menu(.mnu)","obn.mnu\\1","7","6"
"46","L","ПАРАЛЛЕЛЬНЫЕ НАЗВАНИЯ","0=text",,"8","6"
"46","M","Название 3-й единицы деления","0=text",,"7","6"
"46","P","ПРИМЕЧАНИЕ","0=text",,"8","6"
"46","R","ВАРИАНТ ЗАГЛАВИЯ","0=text",,"8","6"
"46","S","Роль (нужна ссылочная карточка?)","7=yes/no","rolpz.mnu","8","6"
"46","T","ТИП разночтения","1=menu(.mnu)","trzh.mnu","8","6"
"46","U","Роль (нужна добавочная карточка на серию?)","7=yes/no","rols3.mnu","8","6"
